brand,name,fragrantica_url,gender,concentration,release_year,main_accords,notes_top,notes_heart,notes_base,notes_undifferentiated,longevity,sillage,season_winter_votes,season_spring_votes,season_summer_votes,season_fall_votes,day_votes,night_votes,fragrantica_rating
Dior,Miss Dior Brume Soyeuse pour le Corps,https://www.fragrantica.fr/parfum/Dior/Miss-Dior-Brume-Soyeuse-pour-le-Corps-37572.html,femme,Extrait de Parfum,2016,"rose;citrus;musky;white floral;floral;powdery;patchouli;fruity;f_gender",Mandarine,"Rose;Jasmin","Musc;Patchouli",,médiocre,discret,,,,,,,4.35
Dior,Miss Dior Cherie,https://www.fragrantica.fr/parfum/Dior/Miss-Dior-Cherie-213.html,femme,Extrait de Parfum,2005,"sweet;fruity;caramel;cherry;patchouli;woody;citrus;tropical;f_gender","Cerise;Fraise;Ananas;Mandarine","Popcorn;Caramel;Rose;Jasmin;Violette","Patchouli;Musc;Ambre",,longue tenue,modéré (e),,,,,,,4.01
Dior,Miss Dior Cherie 2007,https://www.fragrantica.fr/parfum/Dior/Miss-Dior-Cherie-2007-1514.html,femme,Extrait de Parfum,2007,"citrus;patchouli;floral;woody;warm spicy;white floral;fresh spicy;earthy;f_gender",,,,"Patchouli;Orange;Freesia;Bergamote;Muguet",,,,,,,,,3.95
Dior,Miss Dior Cherie Blooming Bouquet 2007,https://www.fragrantica.fr/parfum/Dior/Miss-Dior-Cherie-Blooming-Bouquet-2007-3738.html,femme,Extrait de Parfum,2008,"floral;fresh;rose;musky;citrus;powdery;sweet;fruity;f_gender",Mandarine,Pivoine,Musc,,,,,,,,,,4.00
Dior,Miss Dior Cherie Blooming Bouquet 2011,https://www.fragrantica.fr/parfum/Dior/Miss-Dior-Cherie-Blooming-Bouquet-2011-13143.html,femme,Extrait de Parfum,2011,"rose;floral;citrus;fresh;musky;patchouli;woody;fresh spicy;f_gender","Agrumes;Orange","Pivoine;Rose","Musc;Patchouli",,modéré (e),modéré (e),,,,,,,3.98
Dior,Miss Dior Cherie Eau de Parfum,https://www.fragrantica.fr/parfum/Dior/Miss-Dior-Cherie-Eau-de-Parfum-11588.html,femme,Extrait de Parfum,2011,"fruity;woody;sweet;patchouli;citrus;earthy;rose;warm spicy;f_gender","Fraise;Mandarine","Rose;Jasmin","Patchouli;Bois de santal;Ambre;Mousse de chêne;Vétiver",,longue tenue,modéré (e),,,,,,,4.10
Dior,Miss Dior Cherie Eau de Printemps,https://www.fragrantica.fr/parfum/Dior/Miss-Dior-Cherie-Eau-de-Printemps-2521.html,femme,Extrait de Parfum,2008,"citrus;white floral;rose;patchouli;fresh spicy;floral;woody;warm spicy;f_gender","Orange sanguine;Bergamote","Rose;Jasmin;Néroli",Patchouli,,,,,,,,,,3.95
Dior,Miss Dior Cherie Eau De Toilette 2010,https://www.fragrantica.fr/parfum/Dior/Miss-Dior-Cherie-Eau-De-Toilette-2010-8208.html,femme,Extrait de Parfum,2010,"sweet;vanilla;fruity;lactonic;patchouli;white floral;woody;nutty;f_gender","Notes fruitées;Tubéreuse;Freesia;Jasmin;Muguet;Fleur d'oranger d'Afrique","Praliné;Popcorn;Vanille",Patchouli,,modéré (e),modéré (e),,,,,,,4.15
Dior,Miss Dior Cherie Extrait de Parfum,https://www.fragrantica.fr/parfum/Dior/Miss-Dior-Cherie-Extrait-de-Parfum-11399.html,femme,Extrait de Parfum,2005,"white floral;tuberose;patchouli;citrus;woody;warm spicy;animalic;earthy;f_gender",Mandarine,"Tubéreuse;Jasmin",Patchouli,,longue tenue,modéré (e),,,,,,,4.20
Dior,Miss Dior Cherie L'Eau,https://www.fragrantica.fr/parfum/Dior/Miss-Dior-Cherie-L-Eau-5722.html,femme,Extrait de Parfum,2009,"white floral;citrus;musky;lactonic;powdery;animalic;fresh;green;f_gender",Bigarade,Gardénia,Musc,,modéré (e),modéré (e),,,,,,,4.06
