brand,name,fragrantica_url,gender,concentration,release_year,main_accords,notes_top,notes_heart,notes_base,notes_undifferentiated,longevity,sillage,season_winter_votes,season_spring_votes,season_summer_votes,season_fall_votes,day_votes,night_votes,fragrantica_rating
byredo,Oliver Peoples Champagne,https://www.fragrantica.com/perfume/Byredo/Oliver-Peoples-Champagne-38820.html,unisexe,,2015,"woody;patchouli;aromatic;warm spicy;fresh spicy;earthy;herbal;sweet;sand;balsamic","Juniper Berries;Californian Lemon","Patchouli;Orris","Immortelle;Sand;Musk",,,,3,8,3,13,7,5,4.06
byredo,Oliver Peoples Green,https://www.fragrantica.com/perfume/Byredo/Oliver-Peoples-Green-38821.html,unisexe,,2015,"aromatic;woody;warm spicy;sand;patchouli;fresh spicy;herbal;sweet;earthy;iris","Juniper Berries;Californian Lemon","Patchouli;Orris","Sand;Immortelle;Musk",,,,12,14,10,14,13,9,3.91
byredo,Oliver Peoples Indigo,https://www.fragrantica.com/perfume/Byredo/Oliver-Peoples-Indigo-30946.html,unisexe,Eau de Parfum,2015,"aromatic;woody;patchouli;fresh spicy;sand;citrus;warm spicy;earthy;powdery;musky","Juniper Berries;Californian Lemon","Patchouli;Iris","Sand;Musk;Immortelle",,,,19,30,20,39,34,33,4.01
byredo,Oliver Peoples Moss,https://www.fragrantica.com/perfume/Byredo/Oliver-Peoples-Moss-38818.html,unisexe,,2016,"aromatic;woody;warm spicy;herbal;musky;patchouli;fresh spicy;sweet;powdery;earthy","Juniper Berries;Californian Lemon","Patchouli;Orris","Immortelle;Musk;Sand",,,,9,8,2,11,11,2,3.95
byredo,Oliver Peoples Mustard,https://www.fragrantica.com/perfume/Byredo/Oliver-Peoples-Mustard-38816.html,unisexe,,2016,"aromatic;sand;woody;fresh spicy;citrus;warm spicy;patchouli;herbal;mineral;sweet","Juniper Berries;Californian Lemon","Patchouli;Orris","Sand;Immortelle;Musk",,,,5,8,3,9,9,7,3.91
byredo,Oliver Peoples Rosewood,https://www.fragrantica.com/perfume/Byredo/Oliver-Peoples-Rosewood-38819.html,unisexe,,2016,"aromatic;woody;citrus;warm spicy;fresh spicy;herbal;patchouli;iris;powdery;sweet","Juniper Berries;Californian Lemon","Orris;Patchouli","Immortelle;Musk;Sand",,,,6,6,3,7,7,4,3.93
byredo,Bal d'Afrique Absolu,https://www.fragrantica.com/perfume/Byredo/Bal-d-Afrique-Absolu-108421.html,unisexe,,2025,"citrus;woody;aromatic;sweet;amber;fruity;powdery;animalic;musky;fresh spicy","Blackcurrant;Bergamot;Lemon","Praline;Musk;Violet","Black Amber;Cedarwood;Vetiver",,,,524,954,885,824,911,589,4.47
byredo,Black Saffron Absolu,https://www.fragrantica.com/perfume/Byredo/Black-Saffron-Absolu-121649.html,unisexe,,2025,"leather;warm spicy;rose;animalic;metallic;violet;fruity;sweet;smoky","Saffron;Pomelo;Juniper Berries","Leather;Rose;Black Violet","Raspberry;Blonde Woods;Vetiver",,,,44,37,14,44,44,38,4.17
byredo,Blanche Absolu,https://www.fragrantica.com/perfume/Byredo/Blanche-Absolu-103743.html,unisexe,,2025,"musky;aldehydic;amber;powdery;fresh;woody;white floral;fresh spicy;soapy",,,,,,,,,,,,,4.06
byredo,Gypsy Water Absolu,https://www.fragrantica.com/perfume/Byredo/Gypsy-Water-Absolu-121784.html,unisexe,,2026,"amber;woody;powdery;smoky;fresh spicy;balsamic;aromatic;musky;warm spicy;vanilla",,,,,,,,,,,,,3.47
byredo,Mojave Ghost Absolu,https://www.fragrantica.com/perfume/Byredo/Mojave-Ghost-Absolu-97879.html,unisexe,,2024,"floral;musky;powdery;woody;fruity;violet;amber;sweet;citrus","Sapodilla;Ambrette","Magnolia;Violet;Sandalwood","Musk;Amber;Cedarwood",,,,222,553,506,432,528,292,4.31
byredo,Rose of No Man's Land Absolu,https://www.fragrantica.com/perfume/Byredo/Rose-of-No-Man-s-Land-Absolu-108422.html,unisexe,,2025,"fruity;warm spicy;floral;woody;sweet;fresh;rose;patchouli;soft spicy;amber","Saffron;Blackcurrant;Pink Pepper","Raspberry;Peony","Patchouli;Black Amber;Papyrus",,,,134,134,82,144,120,123,4.18
