brand,name,fragrantica_url,gender,concentration,release_year,main_accords,notes_top,notes_heart,notes_base,notes_undifferentiated,longevity,sillage,season_winter_votes,season_spring_votes,season_summer_votes,season_fall_votes,day_votes,night_votes,fragrantica_rating
dior,I Love Dior,https://www.fragrantica.com/perfume/Dior/I-Love-Dior-1382.html,femme,Eau de Parfum,2002,"white floral;fruity;floral;citrus;fresh;sweet;rose;green;woody","Magnolia;Freesia;Mandarin Orange;Bitter Orange;Orange","Lily-of-the-Valley;Pear;Honeysuckle;Rose;Lily;Raspberry;Black Currant","Musk;Cedar;Amber",,,,27,115,119,34,159,22,3.81
dior,Jules,https://www.fragrantica.com/perfume/Dior/Jules-1243.html,homme,Eau de Parfum,1980,"aromatic;fresh spicy;woody;mossy;floral;leather;herbal;earthy;fresh;powdery","Lavender;Artemisia;Caraway;Bergamot","Carnation;Basil;Rose;Cedar;Cyclamen;Sandalwood;Jasmine","Oakmoss;Leather;Fir;Musk;Amber;Tonka Bean",,,,119,90,41,123,93,93,4.34
dior,Jules (2016),https://www.fragrantica.com/perfume/Dior/Jules-2016-40736.html,homme,Eau de Toilette,2016,"green;fresh;woody;floral;aromatic;fresh spicy;leather;conifer;balsamic",,,,,,,,,,,,,4.34
dior,Lily,https://www.fragrantica.com/perfume/Dior/Lily-2002.html,femme,Eau de Parfum,1999,"white floral;green;floral;fresh;woody;citrus","Green Notes;Fruity Notes;Bergamot;Brazilian Rosewood","Lily-of-the-Valley;Lilac;Lily;Jasmine;Rose","Musk;Sandalwood",,,,3,25,17,4,28,5,3.96
dior,Lily Dior,https://www.fragrantica.com/perfume/Dior/Lily-Dior-2003.html,femme,Eau de Parfum,2004,"white floral;yellow floral;fresh;rose;floral;green;sweet",,,,,,,,,,,,,4.08
dior,Midnight Charm,https://www.fragrantica.com/perfume/Dior/Midnight-Charm-697.html,femme,Eau de Parfum,2006,"fruity;citrus;white floral;leather;green;rose;amber;sweet;animalic;floral","Mandarin Orange;Fruity Notes;Green Notes","Jasmine;Rose;Peach","Leather;Amber",,,,44,26,29,28,57,43,3.98
dior,Miss Dior Originale Harrods 175 Anniversary Edition Amphora,https://www.fragrantica.com/perfume/Dior/Miss-Dior-Originale-Harrods-175-Anniversary-Edition-Amphora-97340.html,femme,Eau de Toilette,2024,"white floral;green;aromatic;mossy;woody;yellow floral;earthy;floral;balsamic;herbal","Gardenia;Galbanum;Sage;Bergamot","Narcissus;Jasmine;Carnation;Rose;Neroli","Oakmoss;Sandalwood;Patchouli;Labdanum",,,,2,2,2,2,2,3,2.37
dior,Remember Me,https://www.fragrantica.com/perfume/Dior/Remember-Me-2001.html,femme,Eau de Parfum,2000,"floral;green;white floral;powdery;fresh;fresh spicy;citrus;violet;yellow floral;woody","Hiacynth;Yuzu;Bergamot","Lily-of-the-Valley;Lilac;Mimosa;Violet;Jasmine","Iris;Cedar;Sandalwood",,,,15,142,119,29,142,24,4.20
dior,Sweet Sun,https://www.fragrantica.com/perfume/Dior/Sweet-Sun-1295.html,femme,Eau de Parfum,2004,"citrus;white floral;vanilla;sweet;fresh spicy;fruity;powdery;musky;fresh","Mandarin Orange;Orange","Tiare Flower;Ginger;Jasmine;Coconut","Vanilla;Musk",,,,,,,,,,4.27
dior,Tendre Poison Brume Parfumée,https://www.fragrantica.com/perfume/Dior/Tendre-Poison-Brume-Parfumee-101009.html,femme,Parfum,,"citrus;rose;fresh spicy;woody;white floral;sweet;floral;honey;balsamic",,,,,,,,,,,,,4.00
dior,Cruise Collection - Escale a Portofino,https://www.fragrantica.com/perfume/Dior/Cruise-Collection-Escale-a-Portofino-3291.html,femme,Eau de Parfum,2008,"citrus;aromatic;fresh spicy;woody;white floral;green","Bergamot;Lemon;Petitgrain","Orange Blossom;Juniper Berries;Almond","Cypress;Cedar;Musk;Galbanum;Caraway",,,,,,,,,,4.08
dior,Cruise Collection - Escale a Portofino Limited Edition,https://www.fragrantica.com/perfume/Dior/Cruise-Collection-Escale-a-Portofino-Limited-Edition-82987.html,unisexe,Eau de Toilette,2023,"citrus;white floral;almond;fresh spicy;aromatic",,,,,,,3,17,32,8,26,5,4.20
dior,Cruise Collection Escale a Parati,https://www.fragrantica.com/perfume/Dior/Cruise-Collection-Escale-a-Parati-14833.html,unisexe,Eau de Toilette,2012,"citrus;aromatic;woody;green;fresh spicy;fresh;warm spicy","Petitgrain;Lemon;Bitter Orange","Mint;Palisander Rosewood;Cinnamon;Red Berries","Woodsy Notes;Tonka Bean",,,,23,90,172,43,179,29,3.75
dior,Cruise Collection Escale a Pondichery,https://www.fragrantica.com/perfume/Dior/Cruise-Collection-Escale-a-Pondichery-6027.html,femme,Eau de Parfum,2009,"warm spicy;green;white floral;fresh;woody;aromatic;ozonic;powdery",,,,,,,53,242,405,78,436,55,4.07
